"","ImageNumber","ObjectNumber","TP53BP1_Count","rH2AX_Count","Intensity_DAPI","Intensity_TP53BP1","MeanIntensity_TP53BP1_foci","MeanIntensity_rH2AX_foci","sample","treat","replicate"
"589",19,26,3,0,217.994263411267,2.78307776502334,0.0289302578765071,0,"FUSClone110","mock","R1"
"590",19,27,4,0,124.824842137285,2.83628597971983,0.0325744833663498,0,"FUSClone110","mock","R1"
"591",19,28,1,0,109.366720700404,2.83196766884066,0.0324823886156082,0,"FUSClone110","mock","R1"
"592",19,29,4,0,181.694896552945,3.83862061076798,0.0326015137419032,0,"FUSClone110","mock","R1"
"593",19,30,2,1,158.092104182346,5.19612424448133,0.0370081238049482,0.0206511785509065,"FUSClone110","mock","R1"
"594",19,31,0,0,174.912871719338,2.81593043357134,0,0,"FUSClone110","mock","R1"
"595",19,32,2,0,137.288503001444,2.97097736643627,0.0373234291222285,0,"FUSClone110","mock","R1"
"596",19,33,0,0,181.994263400324,2.73080036393367,0,0,"FUSClone110","mock","R1"
"597",20,1,3,0,134.487327986397,4.07301445514895,0.026828960645917,0,"FUSClone110","mock","R1"
"598",20,2,1,0,204.563821522752,5.0077821277082,0.0387579157948494,0,"FUSClone110","mock","R1"
"599",20,3,7,0,179.551476812456,4.77074847789481,0.0357816974347144,0,"FUSClone110","mock","R1"
"600",20,4,3,0,296.190402971348,4.60004580998793,0.0292289747080455,0,"FUSClone110","mock","R1"
"601",20,5,5,0,184.542901341803,4.11082630208693,0.0400760264103375,0,"FUSClone110","mock","R1"
"602",20,6,2,0,237.593332563993,2.93057147436775,0.0364090900896399,0,"FUSClone110","mock","R1"
"603",20,7,1,0,324.354376319097,2.48207830009051,0.0321393152698874,0,"FUSClone110","mock","R1"
"604",20,8,3,0,290.443901072023,4.88017094274983,0.0310952973636714,0,"FUSClone110","mock","R1"
"605",20,9,0,0,178.518090271158,2.28795301564969,0,0,"FUSClone110","mock","R1"
"606",20,10,2,0,244.554910321021,3.95117114530876,0.0230926224030554,0,"FUSClone110","mock","R1"
"607",20,11,7,1,110.734935956774,4.75056080357172,0.0278727836188092,0.0262531470507383,"FUSClone110","mock","R1"
"608",20,12,2,1,330.557687662542,3.15371939796023,0.0504096625114067,0.0224036347741882,"FUSClone110","mock","R1"
"609",20,13,4,0,191.572976834606,2.98211643961258,0.0332361523838093,0,"FUSClone110","mock","R1"
"610",20,14,3,0,279.466453945963,4.21548794349656,0.0274768360993928,0,"FUSClone110","mock","R1"
"611",20,15,3,0,249.713115926832,3.37495995429344,0.03187067117348,0,"FUSClone110","mock","R1"
"612",20,16,7,1,207.179080511443,4.96900895424187,0.0401737307686526,0.0355230030914148,"FUSClone110","mock","R1"
"613",20,17,2,0,128.164767331444,2.43138782586902,0.0266276289864133,0,"FUSClone110","mock","R1"
"614",20,18,2,0,189.310811583418,2.28589305700734,0.0336842911317945,0,"FUSClone110","mock","R1"
"615",20,19,3,0,232.55040879501,3.702342283912,0.0388392064594738,0,"FUSClone110","mock","R1"
"616",20,20,7,3,84.9215844406281,6.33215841348283,0.0420130008361633,0.0281648860716859,"FUSClone110","mock","R1"
"617",20,21,3,1,135.41794527974,4.01818878389895,0.0359694452420103,0.0318081250244921,"FUSClone110","mock","R1"
"618",20,22,4,0,145.382269466761,4.18384071695618,0.0382603848681108,0,"FUSClone110","mock","R1"
"619",20,23,2,0,222.791409840109,2.68104068585671,0.0317807279061526,0,"FUSClone110","mock","R1"
"620",20,24,6,0,399.998749965336,6.37155721825548,0.0415403289494641,0,"FUSClone110","mock","R1"
"621",20,25,1,0,91.0125281931832,2.19528497499414,0.0365966279804707,0,"FUSClone110","mock","R1"
"622",20,26,4,0,103.265766865341,2.51001756335609,0.0321569581283256,0,"FUSClone110","mock","R1"
"623",20,27,7,0,107.01200936106,4.10472270427272,0.0336165124859412,0,"FUSClone110","mock","R1"
"624",20,28,4,0,69.5337000447325,3.71772338775918,0.0403084022510383,0,"FUSClone110","mock","R1"
"625",21,1,1,0,153.587259246735,2.49663540604524,0.0382023078992086,0,"FUSClone110","mock","R1"
"626",21,2,0,0,283.450340482872,2.32520028413273,0,0,"FUSClone110","mock","R1"
"627",21,3,3,1,154.059831134742,3.34596781642176,0.0398061257989082,0.026656421367079,"FUSClone110","mock","R1"
"628",21,4,5,0,177.863463073503,3.46215001260862,0.0298301531174079,0,"FUSClone110","mock","R1"
"629",21,5,6,3,213.683879363583,5.03505000146106,0.0382922620251984,0.0281207526266506,"FUSClone110","mock","R1"
"630",21,6,3,0,198.266148461727,3.48761732177809,0.0424966690215197,0,"FUSClone110","mock","R1"
"631",21,7,2,2,290.512047831202,4.19769589998759,0.0388474352968236,0.034535744599998,"FUSClone110","mock","R1"
"632",21,8,1,1,177.112490143394,3.83494318067096,0.0260280757211149,0.0302060811469952,"FUSClone110","mock","R1"
"633",21,9,4,0,305.04814311373,3.91589230182581,0.037896522857611,0,"FUSClone110","mock","R1"
"634",21,10,5,0,299.995362230111,4.33662930759601,0.0338295205669211,0,"FUSClone110","mock","R1"
"635",21,11,3,1,225.913939777762,3.2454718996305,0.041721980666008,0.0205157550983131,"FUSClone110","mock","R1"
