,Data Set,Target,Sample,Ctrl,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM
,Multiple,RHOB,GUSClone110,,2.23010736639119,0.296824970921627,0.296824970921627,0.0699623165880608,0.0699623165880608,2.24252947045701,0.357184745487341,0.357184745487341,0.0841892518901633,0.0841892518901633,2.24252947045701,0.357184745487341,0.357184745487341,0.0841892518901633,0.0841892518901633,18,20.8215976257226,0.192021209388502,0.0452598330967505
,Multiple,RHOB,GUSU2OS,*,1,0.200914805306595,0.200914805306595,0.0473560737576895,0.0473560737576895,1,0.21515247223253,0.21515247223253,0.0507119240348907,0.0507119240348907,1,0.21515247223253,0.21515247223253,0.0507119240348907,0.0507119240348907,18,21.9787107947163,0.289858793256997,0.0683203727661907
,Multiple,RIF1-S,RIF1-S,,1,0.0860189629766363,0.0860189629766363,0.0139541184182644,0.0139541184182644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38,9.35547869722028,0.124099131308805,0.0201315374420074
,Multiple,SLC26A7,FUSClone110,,0.485859720987059,0.141919362749393,0.141919362749393,0.0354798406873481,0.0354798406873481,0.422416039774959,0.138561952680427,0.138561952680427,0.0346404881701068,0.0346404881701068,0.422416039774959,0.138561952680427,0.138561952680427,0.0346404881701068,0.0346404881701068,16,29.3582172600401,0.421410444209521,0.10535261105238
,Multiple,SLC26A7,GUSClone110,,3.200516863405,0.750868877195256,0.750868877195256,0.176981491615565,0.176981491615565,3.21834432505138,0.80584176736408,0.80584176736408,0.189938726088831,0.189938726088831,3.21834432505138,0.80584176736408,0.80584176736408,0.189938726088831,0.189938726088831,18,26.6385240893279,0.33846870731216,0.0797778393866245
,Multiple,SLC26A7,GUSU2OS,*,1,0.17661638833756,0.17661638833756,0.0416288819540551,0.0416288819540551,1,0.192658184216986,0.192658184216986,0.0454099695036392,0.0454099695036392,1,0.192658184216986,0.192658184216986,0.0454099695036392,0.0454099695036392,18,28.3168289994583,0.254803587594317,0.0600577815528674
,Multiple,SLC4A10,FUSClone110,,0.186599089415283,0.1772609521086,0.1772609521086,0.0886304760543,0.0886304760543,0.162232934675639,0.156004773134882,0.156004773134882,0.0780023865674412,0.0780023865674412,0.162232934675639,0.156004773134882,0.156004773134882,0.0780023865674412,0.0780023865674412,4,33.5678950991164,1.37049702306526,0.685248511532628
,Multiple,SLC4A10,GUSClone110,,1.04211138068698,0.520046389457305,0.520046389457305,0.260023194728653,0.260023194728653,1.04791613081434,0.53091866768155,0.53091866768155,0.265459333840775,0.265459333840775,1.04791613081434,0.53091866768155,0.53091866768155,0.265459333840775,0.265459333840775,4,31.0863994693721,0.719950248127675,0.359975124063837
,Multiple,SLC4A10,GUSU2OS,*,1,0.127702117842624,0.127702117842624,0.063851058921312,0.063851058921312,1,0.149102844432538,0.149102844432538,0.0745514222162691,0.0745514222162691,1,0.149102844432538,0.149102844432538,0.0745514222162691,0.0745514222162691,4,31.1459089502297,0.184235212122572,0.0921176060612858
,Multiple,SLC6A15,FUSClone110,,1.33511628886642,0.214538708515122,0.214538708515122,0.0536346771287806,0.0536346771287806,1.16077647728492,0.25457193745784,0.25457193745784,0.0636429843644599,0.0636429843644599,1.16077647728492,0.25457193745784,0.25457193745784,0.0636429843644599,0.0636429843644599,16,23.0739514646583,0.231825447292148,0.0579563618230369
,Multiple,SLC6A15,GUSClone110,,1.45709776779618,0.203170305007263,0.203170305007263,0.0507925762518159,0.0507925762518159,1.4652140676562,0.241187415535844,0.241187415535844,0.0602968538839609,0.0602968538839609,1.4652140676562,0.241187415535844,0.241187415535844,0.0602968538839609,0.0602968538839609,16,22.9478191889812,0.201162061989293,0.0502905154973234
,Multiple,SLC6A15,GUSU2OS,*,1,0.10966729574304,0.10966729574304,0.0293098176574621,0.0293098176574621,1,0.13398038316102,0.13398038316102,0.0358077635955167,0.0358077635955167,1,0.13398038316102,0.13398038316102,0.0358077635955167,0.0358077635955167,14,23.4909168710388,0.158216463716188,0.0422851285837804
,Multiple,TIMELESS,FUSClone110,,0.795525553207219,0.0855840080074473,0.0855840080074473,0.0201723441410633,0.0201723441410633,0.691645631876795,0.127252406375905,0.127252406375905,0.0299936798235696,0.0299936798235696,0.691645631876795,0.127252406375905,0.127252406375905,0.0299936798235696,0.0299936798235696,18,25.9193720857331,0.155207615184655,0.0365827857296205
,Multiple,TIMELESS,GUSClone110,,0.437077718277434,0.058367649706162,0.058367649706162,0.0145919124265405,0.0145919124265405,0.439512320746858,0.070166782769461,0.070166782769461,0.0175416956923653,0.0175416956923653,0.439512320746858,0.070166782769461,0.070166782769461,0.0175416956923653,0.0175416956923653,16,26.7833905250248,0.192658456970287,0.0481646142425717
